title,slug,category,difficulty,intended_user_problem,main_example,formulas_or_power_query,excel_version_requirement,older_version_limitation,google_sheets_limitation,related_resources,technical_qa_result,seo_result,editorial_risks,live_route_after_publication,owner_decision,reviewer,review_date,notes
"Conditional Formatting sebagai Alarm Kerja, Bukan Sekadar Warna",panduan-conditional-formatting-sebagai-alarm,produktivitas,pemula,"Warna tanpa aturan yang jelas membuat pengguna melihat dekorasi, bukan prioritas tindakan.","```text Status di F2:F30; tenggat di D2:D30; aturan terlambat: `=AND($D2<TODAY(),$F2<>""Selesai"",$D2<>"""")`. ```","text
Status di F2:F30; tenggat di D2:D30; aturan terlambat: ; .
",Microsoft Excel 365; Microsoft Excel 2021; Microsoft Excel 2019,Conditional Formatting formula tersedia pada Excel modern dan Google Sheets dengan dialog berbeda. TODAY mengikuti tanggal sistem perangkat. Alternatif untuk Excel lama: Tambahkan kolom `Flag` dengan IF agar status alarm juga bisa difilter.,Conditional Formatting formula tersedia pada Excel modern dan Google Sheets dengan dialog berbeda.,template-rencana-proyek-sederhana; template-jadwal-pembayaran-tagihan; panduan-checklist-kualitas-file-excel; panduan-excel-table-vs-range; rumus-if-ifs-status-prioritas; masalah-tanggal-salah-format-excel,passed,passed,"Owner confirms clarity, compatibility wording, and example accuracy.",https://excelgratis.my.id/panduan/produktivitas/panduan-conditional-formatting-sebagai-alarm/,pending_owner_review,,,Proposed next low-risk guide wave.
Data Model Excel untuk Banyak Tabel Tanpa Menyatukan Semuanya Manual,panduan-data-model-excel,pengolahan-data,lanjutan,Menyatukan banyak tabel secara manual membuat data berulang dan memperbesar risiko angka terhitung lebih dari sekali.,```text FactSales berisi transaksi; DimProduct berisi kategori produk; DimDate berisi tanggal dan bulan. ```,Power Query: Data Model Excel untuk Banyak Tabel Tanpa Menyatukan Semuanya Manual,Microsoft Excel 365; Microsoft Excel 2021; Microsoft Excel 2019 dengan Power Pivot tersedia,"Data Model/Power Pivot paling lengkap pada Excel desktop; Google Sheets tidak memiliki Data Model Excel. Alternatif untuk Excel lama: Gunakan Power Query Merge untuk menghasilkan satu tabel analisis, dengan catatan risiko duplikasi perlu diuji.",Data Model/Power Pivot paling lengkap pada Excel desktop; Google Sheets tidak memiliki Data Model Excel.,template-laporan-penjualan-harian-umkm; panduan-pivottable-dua-tabel; panduan-power-query-merge-vs-append; rumus-sumifs-rekap-kategori; masalah-vlookup-xlookup-na,passed,passed,Version-specific workflow; owner confirms terminology and screenshots/examples.,https://excelgratis.my.id/panduan/pengolahan-data/panduan-data-model-excel/,pending_owner_review,,,Not proposed for the next guide wave.
Dynamic Array dan #SPILL!: Memahami Rumus yang Mengisi Banyak Sel,panduan-dynamic-array-spill-excel,pengolahan-data,menengah,"Rumus modern dapat menghasilkan banyak sel sekaligus, tetapi akan gagal jika area spill terhalang.",```text A2:A5 berisi nama produk; di D2 gunakan `=SORT(A2:A5)` untuk menghasilkan daftar terurut. ```,"text
A2:A5 berisi nama produk; di D2 gunakan ;  untuk menghasilkan daftar terurut.
",Microsoft Excel 365; Microsoft Excel 2021,Dynamic Array tersedia di Microsoft 365 dan Excel 2021. Excel 2019 tidak otomatis mendukung perilaku spill; Google Sheets memiliki array behavior sendiri. Alternatif untuk Excel lama: Gunakan formula per baris atau helper column pada Excel lama.,Excel 2019 tidak otomatis mendukung perilaku spill; Google Sheets memiliki array behavior sendiri.,template-rekap-penjualan-bulanan; template-daftar-harga-produk-jasa; panduan-rumus-filter-laporan; panduan-unique-sort-excel; rumus-filter-daftar-dinamis; rumus-xlookup-vlookup-data; masalah-vlookup-xlookup-na,passed,passed,"Owner confirms clarity, compatibility wording, and example accuracy.",https://excelgratis.my.id/panduan/pengolahan-data/panduan-dynamic-array-spill-excel/,pending_owner_review,,,Proposed next low-risk guide wave.
Parameter Power Query: Mengganti Sumber File Tanpa Membuat Query Ulang,panduan-parameter-power-query,pengolahan-data,lanjutan,Jalur file atau batas tanggal yang tertulis langsung di query membuat alur sulit dipindahkan dan dirawat.,```text Parameter `pFolder` = `C:\Data\PenjualanUji`; query memakai Folder.Files(pFolder). ```,Power Query: Parameter Power Query: Mengganti Sumber File Tanpa Membuat Query Ulang,Microsoft Excel 365; Microsoft Excel 2021; Microsoft Excel 2019,"Parameter tersedia pada Power Query modern di Excel desktop. Excel web dan Google Sheets tidak dapat diasumsikan mendukung alur parameter yang sama. Alternatif untuk Excel lama: Simpan path di named cell dan baca dengan konektor yang mendukungnya, tetapi uji keamanan dan refresh secara khusus.",Excel web dan Google Sheets tidak dapat diasumsikan mendukung alur parameter yang sama.,template-laporan-penjualan-harian-umkm; panduan-power-query-data-asli; panduan-power-query-append; rumus-iferror-template-rapi; masalah-file-excel-berantakan-google-sheets,passed,passed,Version-specific workflow; owner confirms terminology and screenshots/examples.,https://excelgratis.my.id/panduan/pengolahan-data/panduan-parameter-power-query/,pending_owner_review,,,Not proposed for the next guide wave.
PivotTable dari Dua Tabel: Memahami Relasi Data Sebelum Membuat Ringkasan,panduan-pivottable-dua-tabel,pengolahan-data,lanjutan,Dua tabel tidak boleh asal digabung karena penggabungan manual dapat menggandakan baris dan angka.,"```text FactSales(IDProduk, Tanggal, Qty, Total) dan DimProduct(IDProduk, Produk, Kategori). ```",Power Query: PivotTable dari Dua Tabel: Memahami Relasi Data Sebelum Membuat Ringkasan,Microsoft Excel 365; Microsoft Excel 2021; Microsoft Excel 2019 dengan batasan fitur,"Data Model dan relasi paling lengkap pada Excel desktop Windows; dukungan Excel web, Mac, dan Google Sheets dapat berbeda. Alternatif untuk Excel lama: Gabungkan kolom master dengan Power Query Merge sebelum PivotTable jika Data Model tidak tersedia.","Data Model dan relasi paling lengkap pada Excel desktop Windows; dukungan Excel web, Mac, dan Google Sheets dapat berbeda.",template-rekap-penjualan-bulanan; template-daftar-harga-produk-jasa; panduan-data-model-excel; panduan-power-query-merge-vs-append; rumus-sumifs-rekap-kategori; masalah-sumifs-countifs-hasil-nol,passed,passed,Version-specific workflow; owner confirms terminology and screenshots/examples.,https://excelgratis.my.id/panduan/pengolahan-data/panduan-pivottable-dua-tabel/,pending_owner_review,,,Not proposed for the next guide wave.
Append Queries Power Query: Menggabungkan Laporan Bulanan dengan Aman,panduan-power-query-append,pengolahan-data,menengah,Menyalin laporan bulanan secara manual membuat header ganda dan baris terlewat.,"```text `qJan`, `qFeb`, `qMar` masing-masing memiliki kolom Tanggal, Produk, Qty, Total. ```",Power Query: Append Queries Power Query: Menggabungkan Laporan Bulanan dengan Aman,Microsoft Excel 365; Microsoft Excel 2021; Microsoft Excel 2019,"Append Queries tersedia pada Power Query Excel 2016 ke atas. Google Sheets tidak memiliki Power Query Editor. Alternatif untuk Excel lama: Gunakan VSTACK pada Microsoft 365 untuk penggabungan sederhana, atau Power Query versi desktop untuk alur yang dapat di-refresh.",Google Sheets tidak memiliki Power Query Editor.,template-rekap-penjualan-bulanan; panduan-power-query-merge-vs-append; panduan-power-query-data-asli; rumus-sumifs-rekap-kategori; masalah-sumifs-countifs-hasil-nol,passed,passed,Version-specific workflow; owner confirms terminology and screenshots/examples.,https://excelgratis.my.id/panduan/pengolahan-data/panduan-power-query-append/,pending_owner_review,,,Not proposed for the next guide wave.
Power Query untuk Membersihkan Data Excel Tanpa Merusak Data Asli,panduan-power-query-data-asli,pengolahan-data,menengah,Mengedit data impor langsung membuat perubahan sulit dilacak dan menyulitkan refresh berikutnya.,"```text Table `tblRawSales` berisi tanggal, nama produk, dan total dengan beberapa spasi di nama produk. ```",Power Query: Power Query untuk Membersihkan Data Excel Tanpa Merusak Data Asli,Microsoft Excel 365; Microsoft Excel 2021; Microsoft Excel 2019,"Power Query tersedia pada Excel 2016 ke atas dengan tingkat fitur yang berbeda. Google Sheets tidak menjalankan query M secara native. Alternatif untuk Excel lama: Gunakan kolom bantu dan salinan data jika Power Query tidak tersedia, sambil menyimpan sumber mentah terpisah.",Google Sheets tidak menjalankan query M secara native.,template-laporan-penjualan-harian-umkm; panduan-power-query-append; panduan-excel-table-vs-range; rumus-iferror-template-rapi; masalah-angka-tidak-terjumlah-format-teks,passed,passed,Version-specific workflow; owner confirms terminology and screenshots/examples.,https://excelgratis.my.id/panduan/pengolahan-data/panduan-power-query-data-asli/,pending_owner_review,,,Not proposed for the next guide wave.
Merge vs Append Power Query: Memilih Cara Menggabungkan Dua Tabel,panduan-power-query-merge-vs-append,pengolahan-data,menengah,Salah memilih Merge atau Append dapat menggandakan data atau menghasilkan kolom yang tidak bermakna.,"```text Transaksi: IDProduk, Qty; Master: IDProduk, NamaProduk, Kategori. Laporan Jan dan Feb: kolom sama. ```",Power Query: Merge vs Append Power Query: Memilih Cara Menggabungkan Dua Tabel,Microsoft Excel 365; Microsoft Excel 2021; Microsoft Excel 2019,"Merge dan Append tersedia pada Power Query Excel 2016 ke atas. Google Sheets tidak menjalankan M query secara native. Alternatif untuk Excel lama: Gunakan XLOOKUP untuk lookup satu atribut pada Microsoft 365, atau VLOOKUP pada Excel lama; gunakan VSTACK untuk append sederhana.",Google Sheets tidak menjalankan M query secara native.,template-database-pelanggan-sederhana; template-rekap-pesanan-pelanggan; panduan-power-query-append; panduan-power-query-data-asli; rumus-xlookup-vlookup-data; masalah-vlookup-xlookup-na,passed,passed,Version-specific workflow; owner confirms terminology and screenshots/examples.,https://excelgratis.my.id/panduan/pengolahan-data/panduan-power-query-merge-vs-append/,pending_owner_review,,,Not proposed for the next guide wave.
Unpivot Power Query: Mengubah Kolom Bulan Menjadi Data yang Siap Dianalisis,panduan-power-query-unpivot,pengolahan-data,menengah,"Kolom bulan melebar membuat filter, chart, dan ringkasan lintas periode lebih sulit.",```text Produk | Jan | Feb | Mar Kopi | 10 | 12 | 9 Teh | 8 | 11 | 13 ```,Power Query: Unpivot Power Query: Mengubah Kolom Bulan Menjadi Data yang Siap Dianalisis,Microsoft Excel 365; Microsoft Excel 2021; Microsoft Excel 2019,"Unpivot tersedia pada Power Query Excel 2016 ke atas. Google Sheets perlu formula atau Apps Script yang berbeda. Alternatif untuk Excel lama: Gunakan Power Query sebagai pilihan utama; untuk data kecil, salin ke format panjang secara manual dengan checklist.",Google Sheets perlu formula atau Apps Script yang berbeda.,template-rekap-penjualan-bulanan; panduan-power-query-append; panduan-pivottable-dua-tabel; rumus-sumifs-rekap-kategori; masalah-file-excel-berantakan-google-sheets,passed,passed,Version-specific workflow; owner confirms terminology and screenshots/examples.,https://excelgratis.my.id/panduan/pengolahan-data/panduan-power-query-unpivot/,pending_owner_review,,,Not proposed for the next guide wave.
Cara Membuat Laporan Mandiri dengan Rumus FILTER Excel,panduan-rumus-filter-laporan,pengolahan-data,menengah,Laporan per pelanggan sering dibuat dengan salin-tempel sehingga mudah tertinggal saat transaksi berubah.,"```text A:D = ID, Tanggal, Pelanggan, Total; G2=`Toko Melati`; formula `=FILTER(A2:D20,C2:C20=G2,""Tidak ada transaksi"")`. ```","text
A:D = ID, Tanggal, Pelanggan, Total; G2=; ; formula ; .
",Microsoft Excel 365; Microsoft Excel 2021,FILTER tersedia pada Microsoft 365 dan Excel 2021. Excel 2019 memerlukan helper column atau Advanced Filter; Google Sheets memiliki FILTER dengan sintaks yang mirip tetapi perilaku berbeda. Alternatif untuk Excel lama: Gunakan Advanced Filter atau PivotTable untuk laporan yang dibuat manual pada Excel lama.,Excel 2019 memerlukan helper column atau Advanced Filter; Google Sheets memiliki FILTER dengan sintaks yang mirip tetapi perilaku berbeda.,template-rekap-pesanan-pelanggan; template-laporan-penjualan-harian-umkm; panduan-dynamic-array-spill-excel; panduan-unique-sort-excel; rumus-filter-daftar-dinamis; rumus-countifs-dashboard-status; masalah-sumifs-countifs-hasil-nol,passed,passed,"Owner confirms clarity, compatibility wording, and example accuracy.",https://excelgratis.my.id/panduan/pengolahan-data/panduan-rumus-filter-laporan/,pending_owner_review,,,Not proposed for the next guide wave.
Rumus LET Excel: Membuat Formula Panjang Lebih Mudah Dibaca,panduan-rumus-let-excel,pengolahan-data,menengah,Formula yang mengulang `Qty*Harga` beberapa kali sulit dibaca dan rawan tidak konsisten ketika diperbaiki.,"```text Qty=3, Harga=25000, Diskon=5000; hasil yang diharapkan: 70000. ```","text
Qty=3, Harga=25000, Diskon=5000; hasil yang diharapkan: 70000.
",Microsoft Excel 365; Microsoft Excel 2021,LET tersedia pada Microsoft 365 dan Excel 2021. Excel 2019 dan Google Sheets tidak dapat diasumsikan mendukung sintaks yang sama. Alternatif untuk Excel lama: Gunakan kolom bantu untuk subtotal dan total pada Excel lama.,Excel 2019 dan Google Sheets tidak dapat diasumsikan mendukung sintaks yang sama.,template-laporan-penjualan-harian-umkm; panduan-rumus-filter-laporan; panduan-audit-rumus-excel; rumus-iferror-template-rapi; rumus-sumifs-rekap-kategori; masalah-sumifs-countifs-hasil-nol,passed,passed,"Owner confirms clarity, compatibility wording, and example accuracy.",https://excelgratis.my.id/panduan/pengolahan-data/panduan-rumus-let-excel/,pending_owner_review,,,Not proposed for the next guide wave.
Sparklines Excel: Membaca Tren Kecil Tanpa Membuat Grafik Besar,panduan-sparklines-excel,produktivitas,pemula,Tabel ringkas memiliki banyak baris sehingga grafik besar untuk tiap produk tidak praktis.,```text Produk | Apr | Mei | Jun | Jul Kopi | 12 | 15 | 14 | 20 ```,"text
Produk | Apr | Mei | Jun | Jul
Kopi | 12 | 15 | 14 | 20
",Microsoft Excel 365; Microsoft Excel 2021; Microsoft Excel 2019,Sparklines tersedia pada Excel 2010 ke atas. Google Sheets memiliki SPARKLINE dengan sintaks berbeda dan perlu diuji ulang. Alternatif untuk Excel lama: Gunakan conditional formatting data bars untuk sinyal skala pada satu angka.,Google Sheets memiliki SPARKLINE dengan sintaks berbeda dan perlu diuji ulang.,template-rekap-penjualan-bulanan; panduan-conditional-formatting-sebagai-alarm; panduan-checklist-kualitas-file-excel; rumus-sumifs-rekap-kategori; masalah-file-excel-berantakan-google-sheets,passed,passed,"Owner confirms clarity, compatibility wording, and example accuracy.",https://excelgratis.my.id/panduan/produktivitas/panduan-sparklines-excel/,pending_owner_review,,,Proposed next low-risk guide wave.
TEXTSPLIT Excel: Memecah Data Impor yang Menumpuk dalam Satu Kolom,panduan-textsplit-excel,pengolahan-data,menengah,Data dari email atau sistem lama sering masuk sebagai satu teks panjang dengan pemisah tertentu.,"```text A2=`BRG-01|Buku Tulis|ATK`; formula `=TEXTSPLIT(A2,""|"")`. ```",Power Query: TEXTSPLIT Excel: Memecah Data Impor yang Menumpuk dalam Satu Kolom,Microsoft Excel 365; Microsoft Excel 2021,"TEXTSPLIT tersedia pada Microsoft 365 dan Excel 2021. Excel 2019 memerlukan Text to Columns, Power Query, atau formula bantu. Alternatif untuk Excel lama: Gunakan Data > Text to Columns untuk pekerjaan satu kali, atau Power Query untuk impor berulang.",Google Sheets: artikel ini berfokus pada Excel; jangan menganggap perilaku Google Sheets identik.,template-database-pelanggan-sederhana; panduan-dynamic-array-spill-excel; panduan-power-query-data-asli; rumus-filter-daftar-dinamis; masalah-file-excel-berantakan-google-sheets,passed,passed,Version-specific workflow; owner confirms terminology and screenshots/examples.,https://excelgratis.my.id/panduan/pengolahan-data/panduan-textsplit-excel/,pending_owner_review,,,Proposed next low-risk guide wave.
UNIQUE dan SORT Excel untuk Membuat Daftar Bersih Otomatis,panduan-unique-sort-excel,pengolahan-data,menengah,Daftar pilihan dari transaksi mentah berisi nama berulang dan sulit dirawat secara manual.,"```text C2:C7 = Toko Melati, Toko Sari, Toko Melati, Koperasi Maju, Toko Sari, Koperasi Maju. ```","text
C2:C7 = Toko Melati, Toko Sari, Toko Melati, Koperasi Maju, Toko Sari, Koperasi Maju.
",Microsoft Excel 365; Microsoft Excel 2021,"UNIQUE dan SORT merupakan fungsi dynamic array pada Microsoft 365 dan Excel 2021. Excel 2019 memerlukan Remove Duplicates atau PivotTable. Alternatif untuk Excel lama: Gunakan Data > Remove Duplicates pada salinan data, atau PivotTable untuk daftar kategori.",Google Sheets: artikel ini berfokus pada Excel; jangan menganggap perilaku Google Sheets identik.,template-database-pelanggan-sederhana; panduan-dynamic-array-spill-excel; panduan-dropdown-dinamis-excel; rumus-filter-daftar-dinamis; masalah-angka-tidak-terjumlah-format-teks,passed,passed,"Owner confirms clarity, compatibility wording, and example accuracy.",https://excelgratis.my.id/panduan/pengolahan-data/panduan-unique-sort-excel/,pending_owner_review,,,Proposed next low-risk guide wave.
Validasi Data Excel dengan Formula Kustom untuk Mencegah Salah Input,panduan-validasi-data-formula-kustom,pengolahan-data,menengah,"ID yang kosong atau kembar membuat pencarian, rekap, dan penggabungan data menjadi tidak dapat dipercaya.",```text A2=INV-001 A3=INV-002 A4=INV-002 (harus ditolak) ```,"text
A2=INV-001
A3=INV-002
A4=INV-002 (harus ditolak)
",Microsoft Excel 365; Microsoft Excel 2021; Microsoft Excel 2019,"Custom validation tersedia di Excel desktop dan web. Google Sheets memiliki Data validation dengan formula kustom yang sintaks dan perilakunya perlu diuji ulang. Alternatif untuk Excel lama: Gunakan Remove Duplicates sebagai pemeriksaan berkala, bukan sebagai pencegahan input harian.",Google Sheets memiliki Data validation dengan formula kustom yang sintaks dan perilakunya perlu diuji ulang.,template-database-pelanggan-sederhana; template-rekap-pesanan-pelanggan; panduan-dropdown-dinamis-excel; panduan-excel-table-vs-range; rumus-countifs-dashboard-status; masalah-dropdown-data-validation-tidak-muncul,passed,passed,"Owner confirms clarity, compatibility wording, and example accuracy.",https://excelgratis.my.id/panduan/pengolahan-data/panduan-validasi-data-formula-kustom/,pending_owner_review,,,Not proposed for the next guide wave.
